bms_search_id,name,short_name,release_year,url
XsMKM_ZCFT0S3E,BEHIND THE MASK,BEHIND THE MASK,1999,https://web.archive.org/web/19990921225610/http://www.linkclub.or.jp:80/~nacky/bm98btm/
EQSGLL4HVjvTgz,BMS Contest'99 in summer,BMS Contest'99 in summer,1999,https://web.archive.org/web/20021230012911/http://www.mnxnet.com:80/~manbow/contest/
wJ-479LqaEtRYn,Re-rise,Re-rise,1999,http://a-manbow.sakura.ne.jp/rerise/rerise.cgi?action=List_def&count=320
f6tjvEBnBsV_Vt,club Stubborn,club Stubborn,1999,
hvhoVz_mbCFpUQ,Drum'n'bass 大会,Drum'n'bass 大会,2000,https://web.archive.org/web/*/http://www.d6.dion.ne.jp/~alpha-pz/event_gate.html
c-pfc5_F1CDovn,Millennium X'mas BMS Contest,Millennium X'mas BMS Contest,2000,https://web.archive.org/web/*/http://www1.ocn.ne.jp/~fmk/bwi/event/event1.html
MHrRnFLrCd5TUV,癒し系BMS合戦,癒し系BMS合戦,2000,https://web.archive.org/web/*/http://www.akane.sakura.ne.jp/~teambwi/mw/
Kb45sMRj1fFxFe,第一回BMS東西合戦,第一回BMS東西合戦,2000,
2UT6PMRjSokrXb,第一回BMS祭り,第一回BMS祭り,2000,http://nekokan.dyndns.info/file/log/review/Re-Rise_1/_01.html
HpwPVltg3ERHvx,第一次血戦,第一次血戦,2000,http://nekokan.dyndns.info/file/log/review/Club_Stubborn_1/log/01.html
9SuexFNuKVSMjI,第二次血戦,第二次血戦,2000,https://web.archive.org/web/20001017131217/http://user3.allnet.ne.jp/love/ssamp/event.htm
RDqu-_85bRe5Xo,B-1 ClimaX System-C,B-1 ClimaX System-C,2001,https://web.archive.org/web/20011201021858/http://www.geocities.co.jp/Bookend-Soseki/4949/B1ClimaX/
g28LkSkVMLsTfO,B-1 ClimaX System-R,B-1 ClimaX System-R,2001,https://web.archive.org/web/20011201021858/http://www.geocities.co.jp/Bookend-Soseki/4949/B1ClimaX/
